node_id,osm_node_id,x_coord,y_coord,longitude,latitude,activity_type,is_boundary,zone_id
12853,42725247,-73.8264381,40.8565307,-73.8264381,40.8565307,node,0,-1
12854,42725324,-73.9264397,40.8075358,-73.9264397,40.8075358,node,0,-1
12855,42725346,-73.9242442,40.8071758,-73.9242442,40.8071758,node,0,-1
12856,42725357,-73.8260272,40.8532177,-73.8260272,40.8532177,node,0,-1
12857,42725375,-73.8271699,40.8517322,-73.8271699,40.8517322,node,0,-1
12858,42725386,-73.826645,40.8533569,-73.826645,40.8533569,node,0,-1
12859,42725481,-73.9218931,40.8053725,-73.9218931,40.8053725,node,0,-1
12860,42725574,-73.8728048,40.8245349,-73.8728048,40.8245349,node,0,-1
12861,42725658,-73.9135977,40.8459638,-73.9135977,40.8459638,node,0,-1
12862,42725664,-73.872035,40.8637244,-73.872035,40.8637244,node,0,-1
12863,42725700,-73.8693818,40.857157,-73.8693818,40.857157,node,0,-1
12864,42725739,-73.9311613,40.8283273,-73.9311613,40.8283273,node,0,-1
12865,42725827,-73.9233118,40.8050821,-73.9233118,40.8050821,node,0,-1
12866,42725853,-73.856974,40.825949,-73.856974,40.825949,node,0,-1
12867,42725869,-73.8610399,40.8254213,-73.8610399,40.8254213,node,0,-1
12868,42726009,-73.8171185,40.8725643,-73.8171185,40.8725643,node,0,-1
12869,42726038,-73.8121507,40.8697773,-73.8121507,40.8697773,node,0,-1
12870,42726251,-73.8100413,40.8190544,-73.8100413,40.8190544,node,0,-1
12871,42726484,-73.8258946,40.8848991,-73.8258946,40.8848991,node,0,-1
12872,42726506,-73.919202,40.837669,-73.919202,40.837669,node,0,-1
12873,42726512,-73.814424,40.829747,-73.814424,40.829747,node,0,-1
12874,42726522,-73.8164842,40.8273187,-73.8164842,40.8273187,node,0,-1
12875,42726552,-73.909738,40.8894905,-73.909738,40.8894905,node,0,-1
12876,42726558,-73.8390979,40.8563317,-73.8390979,40.8563317,node,0,-1
12877,42726587,-73.8269292,40.8618934,-73.8269292,40.8618934,node,0,-1
12878,42726610,-73.8231612,40.8166896,-73.8231612,40.8166896,node,0,-1
12879,42726621,-73.8241762,40.8184091,-73.8241762,40.8184091,node,0,-1
12880,42726630,-73.8311675,40.8311133,-73.8311675,40.8311133,node,0,-1
12881,42726635,-73.8311215,40.8316372,-73.8311215,40.8316372,node,0,-1
12882,42726699,-73.8721276,40.835855,-73.8721276,40.835855,node,0,-1
12883,42726706,-73.8711654,40.8357725,-73.8711654,40.8357725,node,0,-1
12884,42726772,-73.8728791,40.8367655,-73.8728791,40.8367655,node,0,-1
12885,42726810,-73.8712799,40.8542627,-73.8712799,40.8542627,node,0,-1
12886,42726842,-73.8739091,40.8340056,-73.8739091,40.8340056,node,0,-1
12887,42726852,-73.8752466,40.8367397,-73.8752466,40.8367397,node,0,-1
12888,42726853,-73.8743453,40.8368126,-73.8743453,40.8368126,node,0,-1
12889,42726881,-73.8716806,40.8631172,-73.8716806,40.8631172,node,0,-1
12890,42726946,-73.9018289,40.9015469,-73.9018289,40.9015469,node,0,-1
12891,42726955,-73.8968905,40.9010403,-73.8968905,40.9010403,node,0,-1
12892,42726986,-73.8969453,40.9007751,-73.8969453,40.9007751,node,0,-1
12893,42727085,-73.8248861,40.8388472,-73.8248861,40.8388472,node,0,-1
12894,42727095,-73.8251915,40.842711,-73.8251915,40.842711,node,0,-1
12895,42727107,-73.8273547,40.8528164,-73.8273547,40.8528164,node,0,-1
